County Name,Breed,Sex,0-1 Years,1-2 Years,2-3 Years,3-4 Years,4-5 Years,Over 5 Years,Totals
Bedfordshire,AA,F,43,66,1,4,10,11,135
Bedfordshire,AA,M,25,111,25,2,3,7,173
Bedfordshire,AAX,F,170,192,46,17,16,63,504
Bedfordshire,AAX,M,152,395,151,1,0,11,710
Bedfordshire,AN,F,0,0,0,0,0,3,3
Bedfordshire,AN,M,0,0,0,0,0,1,1
Bedfordshire,AY,F,0,0,0,1,0,0,1
Bedfordshire,AY,M,0,5,3,0,0,0,8
Bedfordshire,AYX,F,0,2,3,0,0,0,5
Bedfordshire,AYX,M,0,2,0,0,0,0,2
Bedfordshire,BA,F,1,18,0,2,5,4,30
Bedfordshire,BA,M,2,19,1,0,0,4,26
Bedfordshire,BABX,F,0,0,0,0,0,3,3
Bedfordshire,BAR,F,0,0,0,0,0,4,4
Bedfordshire,BAX,F,96,137,18,4,10,57,322
Bedfordshire,BAX,M,62,151,15,0,0,2,230
Bedfordshire,BAZX,F,1,1,0,0,0,0,2
Bedfordshire,BB,F,21,20,12,2,1,25,81
Bedfordshire,BB,M,14,16,5,2,1,13,51
Bedfordshire,BBX,F,182,217,110,20,18,59,606
Bedfordshire,BBX,M,114,136,83,0,0,14,347
Bedfordshire,BF,F,41,26,25,32,54,91,269
Bedfordshire,BF,M,29,100,31,0,0,0,160
Bedfordshire,BFX,F,0,5,8,0,0,1,14
Bedfordshire,BFX,M,0,4,3,0,0,0,7
Bedfordshire,BG,F,0,1,0,0,0,1,2
Bedfordshire,BG,M,0,0,0,0,0,1,1
Bedfordshire,BGX,F,0,0,1,0,0,0,1
Bedfordshire,BGX,M,0,1,1,0,0,0,2
Bedfordshire,BH,F,0,0,0,0,0,1,1
Bedfordshire,BH,M,0,0,0,0,0,1,1
Bedfordshire,BI,F,4,3,0,2,3,6,18
Bedfordshire,BI,M,3,1,2,2,1,2,11
Bedfordshire,BLGX,F,0,0,0,0,0,1,1
Bedfordshire,BSH,F,0,0,0,1,1,1,3
Bedfordshire,BSH,M,12,11,0,0,0,1,24
Bedfordshire,BSHX,F,6,1,0,0,0,0,7
Bedfordshire,BSHX,M,3,15,0,0,0,0,18
Bedfordshire,BSX,F,0,1,1,5,3,0,10
Bedfordshire,BSX,M,1,2,0,0,0,0,3
Bedfordshire,BW,F,19,14,6,12,7,15,73
Bedfordshire,BW,M,17,6,3,0,0,1,27
Bedfordshire,BWX,F,7,3,0,3,1,14,28
Bedfordshire,BWX,M,14,4,0,0,0,0,18
Bedfordshire,CB,F,0,0,0,0,0,3,3
Bedfordshire,CH,F,11,32,5,2,8,58,116
Bedfordshire,CH,M,20,48,13,0,2,12,95
Bedfordshire,CHX,F,176,221,75,31,24,267,794
Bedfordshire,CHX,M,114,245,63,1,1,8,432
Bedfordshire,DEV,F,13,10,11,6,5,16,61
Bedfordshire,DEV,M,10,5,3,1,0,1,20
Bedfordshire,DEVX,F,3,23,1,0,0,11,38
Bedfordshire,DEVX,M,6,21,2,0,0,0,29
Bedfordshire,DEX,F,7,10,12,6,6,24,65
Bedfordshire,DEX,M,12,13,3,3,1,3,35
Bedfordshire,DEXX,F,1,0,0,0,0,0,1
Bedfordshire,DG,F,0,0,0,0,0,17,17
Bedfordshire,DS,F,0,0,0,0,1,0,1
Bedfordshire,DS,M,1,0,0,0,0,0,1
Bedfordshire,DVX,F,0,0,0,0,0,1,1
Bedfordshire,FR,F,0,0,0,0,0,292,292
Bedfordshire,FR,M,0,0,0,0,0,34,34
Bedfordshire,FRX,F,0,0,0,0,0,10,10
Bedfordshire,FRX,M,0,0,0,0,0,3,3
Bedfordshire,GA,F,22,19,16,4,0,46,107
Bedfordshire,GA,M,19,31,4,0,0,4,58
Bedfordshire,GAX,F,0,1,1,1,0,5,8
Bedfordshire,GBX,M,0,1,0,0,0,0,1
Bedfordshire,GE,F,0,0,0,0,0,1,1
Bedfordshire,GE,M,0,0,0,0,1,3,4
Bedfordshire,GEX,F,8,20,2,0,1,4,35
Bedfordshire,GEX,M,31,15,0,0,0,0,46
Bedfordshire,GU,M,0,0,2,0,0,0,2
Bedfordshire,GUX,M,0,1,0,0,0,0,1
Bedfordshire,H,F,0,0,0,0,0,8,8
Bedfordshire,H,M,0,0,0,0,0,2,2
Bedfordshire,HE,F,18,6,14,8,3,13,62
Bedfordshire,HE,M,10,17,3,1,1,2,34
Bedfordshire,HEBL,F,0,0,0,0,0,6,6
Bedfordshire,HEBLX,F,0,0,0,0,0,14,14
Bedfordshire,HERX,F,0,0,0,0,0,2,2
Bedfordshire,HEX,F,49,118,59,35,22,92,375
Bedfordshire,HEX,M,51,102,47,3,1,3,207
Bedfordshire,HF,F,279,407,411,285,205,334,"1,921"
Bedfordshire,HF,M,89,109,65,2,4,17,286
Bedfordshire,HFX,F,0,1,1,0,0,2,4
Bedfordshire,HFX,M,9,19,3,0,0,0,31
Bedfordshire,HI,F,9,3,5,3,5,24,49
Bedfordshire,HI,M,7,10,1,0,1,1,20
Bedfordshire,HIX,F,2,5,2,1,0,3,13
Bedfordshire,HIX,M,7,2,0,3,0,0,12
Bedfordshire,HO,F,110,34,31,21,22,36,254
Bedfordshire,HO,M,10,26,8,1,2,1,48
Bedfordshire,HOX,F,48,18,21,10,5,0,102
Bedfordshire,HOX,M,4,0,0,1,0,0,5
Bedfordshire,HX,F,0,0,0,0,0,37,37
Bedfordshire,HX,M,0,0,0,0,0,3,3
Bedfordshire,JE,F,108,83,80,67,49,137,524
Bedfordshire,JE,M,4,3,2,0,0,0,9
Bedfordshire,JEX,F,4,7,15,0,0,0,26
Bedfordshire,JEX,M,0,2,0,0,0,0,2
Bedfordshire,LH,F,7,5,2,1,4,16,35
Bedfordshire,LH,M,5,16,0,0,0,1,22
Bedfordshire,LHX,F,0,0,0,0,0,1,1
Bedfordshire,LI,F,0,0,0,0,0,6,6
Bedfordshire,LI,M,0,0,0,0,0,5,5
Bedfordshire,LIM,F,26,33,3,8,4,25,99
Bedfordshire,LIM,M,24,146,13,4,5,15,207
Bedfordshire,LIM X,F,0,0,0,0,0,1,1
Bedfordshire,LIMBX,F,0,0,0,0,0,7,7
Bedfordshire,LIMBX,M,0,0,0,0,0,1,1
Bedfordshire,LIMR,F,0,0,0,0,0,1,1
Bedfordshire,LIMRX,F,0,0,0,0,0,11,11
Bedfordshire,LIMRX,M,0,0,0,0,0,1,1
Bedfordshire,LIMX,F,357,381,143,63,56,222,"1,222"
Bedfordshire,LIMX,M,346,477,80,9,0,8,920
Bedfordshire,LIX,F,0,0,0,0,0,93,93
Bedfordshire,LIX,M,0,0,0,0,0,20,20
Bedfordshire,LMX,F,0,0,0,0,0,1,1
Bedfordshire,LR,F,0,0,0,4,1,19,24
Bedfordshire,LR,M,1,0,0,0,0,0,1
Bedfordshire,MARX,F,0,0,0,0,0,1,1
Bedfordshire,MG,F,0,0,0,0,0,1,1
Bedfordshire,MGX,F,0,0,0,0,0,5,5
Bedfordshire,MGX,M,0,1,1,0,0,0,2
Bedfordshire,MO,F,0,0,0,0,0,2,2
Bedfordshire,MOX,F,1,3,1,1,0,0,6
Bedfordshire,MOX,M,3,0,0,0,0,0,3
Bedfordshire,MRI,F,0,0,0,0,0,2,2
Bedfordshire,MRI,M,0,0,3,0,0,0,3
Bedfordshire,MRIX,F,0,1,0,0,0,0,1
Bedfordshire,MRIX,M,0,7,0,0,0,0,7
Bedfordshire,NO,F,0,0,0,1,1,0,2
Bedfordshire,NO,M,0,1,0,0,0,0,1
Bedfordshire,NOX,F,1,1,0,0,0,0,2
Bedfordshire,NS,F,0,0,0,0,0,57,57
Bedfordshire,PI,F,0,0,0,0,0,1,1
Bedfordshire,PI,M,0,1,0,0,0,0,1
Bedfordshire,PIX,F,0,2,0,0,0,2,4
Bedfordshire,PIX,M,0,10,0,0,0,0,10
Bedfordshire,RP,F,4,4,4,1,1,10,24
Bedfordshire,RP,M,4,8,2,1,0,0,15
Bedfordshire,RPX,F,4,0,0,1,0,2,7
Bedfordshire,RPX,M,1,0,1,0,0,0,2
Bedfordshire,SAX,F,0,2,0,2,0,3,7
Bedfordshire,SAX,M,1,7,0,0,0,0,8
Bedfordshire,SD,F,9,2,5,6,2,9,33
Bedfordshire,SD,M,6,3,1,1,1,2,14
Bedfordshire,SDX,F,18,11,12,1,0,19,61
Bedfordshire,SDX,M,20,1,15,0,0,1,37
Bedfordshire,SH,F,1,4,0,2,1,3,11
Bedfordshire,SH,M,3,0,0,0,0,1,4
