Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
England,ABERDEEN ANGUS,Non Dairy,F,0 to 6 months,"4,628"
England,ABERDEEN ANGUS,Non Dairy,F,6 to 12 months,"10,350"
England,ABERDEEN ANGUS,Non Dairy,F,12 to 18 months,"4,018"
England,ABERDEEN ANGUS,Non Dairy,F,18 to 24 months,"8,743"
England,ABERDEEN ANGUS,Non Dairy,F,24 to 30 months,"2,039"
England,ABERDEEN ANGUS,Non Dairy,F,30 to 36 months,"4,075"
England,ABERDEEN ANGUS,Non Dairy,F,36 to 42 months,"1,237"
England,ABERDEEN ANGUS,Non Dairy,F,42 to 48 Months,"3,494"
England,ABERDEEN ANGUS,Non Dairy,F,48 to 54 months,"1,242"
England,ABERDEEN ANGUS,Non Dairy,F,54 to 60 months,"3,031"
England,ABERDEEN ANGUS,Non Dairy,F,60 to 66 months,"1,059"
England,ABERDEEN ANGUS,Non Dairy,F,66 to 72 months,"2,486"
England,ABERDEEN ANGUS,Non Dairy,F,72 to 78 months,770
England,ABERDEEN ANGUS,Non Dairy,F,78 to 84 months,"2,210"
England,ABERDEEN ANGUS,Non Dairy,F,84 to 90 months,718
England,ABERDEEN ANGUS,Non Dairy,F,90 to 96 months,"1,643"
England,ABERDEEN ANGUS,Non Dairy,F,96 to102 months,592
England,ABERDEEN ANGUS,Non Dairy,F,102+months,"6,857"
England,ABERDEEN ANGUS,Non Dairy,F,,44
England,ABERDEEN ANGUS,Non Dairy,M,0 to 6 months,"4,880"
England,ABERDEEN ANGUS,Non Dairy,M,6 to 12 months,"10,741"
England,ABERDEEN ANGUS,Non Dairy,M,12 to 18 months,"4,321"
England,ABERDEEN ANGUS,Non Dairy,M,18 to 24 months,"8,506"
England,ABERDEEN ANGUS,Non Dairy,M,24 to 30 months,"1,311"
England,ABERDEEN ANGUS,Non Dairy,M,30 to 36 months,"1,246"
England,ABERDEEN ANGUS,Non Dairy,M,36 to 42 months,250
England,ABERDEEN ANGUS,Non Dairy,M,42 to 48 Months,780
England,ABERDEEN ANGUS,Non Dairy,M,48 to 54 months,177
England,ABERDEEN ANGUS,Non Dairy,M,54 to 60 months,537
England,ABERDEEN ANGUS,Non Dairy,M,60 to 66 months,115
England,ABERDEEN ANGUS,Non Dairy,M,66 to 72 months,374
England,ABERDEEN ANGUS,Non Dairy,M,72 to 78 months,63
England,ABERDEEN ANGUS,Non Dairy,M,78 to 84 months,280
England,ABERDEEN ANGUS,Non Dairy,M,84 to 90 months,61
England,ABERDEEN ANGUS,Non Dairy,M,90 to 96 months,166
England,ABERDEEN ANGUS,Non Dairy,M,96 to102 months,31
England,ABERDEEN ANGUS,Non Dairy,M,102+months,443
England,ABERDEEN ANGUS,Non Dairy,M,,12
England,ABERDEEN ANGUS,Non Dairy,,12 to 18 months,1
England,ABERDEEN ANGUS,Non Dairy,,18 to 24 months,1
England,ABERDEEN ANGUS X,Non Dairy,F,0 to 6 months,"25,422"
England,ABERDEEN ANGUS X,Non Dairy,F,6 to 12 months,"37,091"
England,ABERDEEN ANGUS X,Non Dairy,F,12 to 18 months,"23,961"
England,ABERDEEN ANGUS X,Non Dairy,F,18 to 24 months,"27,793"
England,ABERDEEN ANGUS X,Non Dairy,F,24 to 30 months,"9,156"
England,ABERDEEN ANGUS X,Non Dairy,F,30 to 36 months,"7,955"
England,ABERDEEN ANGUS X,Non Dairy,F,36 to 42 months,"4,006"
England,ABERDEEN ANGUS X,Non Dairy,F,42 to 48 Months,"6,186"
England,ABERDEEN ANGUS X,Non Dairy,F,48 to 54 months,"4,048"
England,ABERDEEN ANGUS X,Non Dairy,F,54 to 60 months,"5,752"
England,ABERDEEN ANGUS X,Non Dairy,F,60 to 66 months,"3,510"
England,ABERDEEN ANGUS X,Non Dairy,F,66 to 72 months,"4,680"
England,ABERDEEN ANGUS X,Non Dairy,F,72 to 78 months,"2,813"
England,ABERDEEN ANGUS X,Non Dairy,F,78 to 84 months,"4,195"
England,ABERDEEN ANGUS X,Non Dairy,F,84 to 90 months,"2,612"
England,ABERDEEN ANGUS X,Non Dairy,F,90 to 96 months,"3,315"
England,ABERDEEN ANGUS X,Non Dairy,F,96 to102 months,"2,260"
England,ABERDEEN ANGUS X,Non Dairy,F,102+months,"18,792"
England,ABERDEEN ANGUS X,Non Dairy,F,,166
England,ABERDEEN ANGUS X,Non Dairy,M,0 to 6 months,"27,260"
England,ABERDEEN ANGUS X,Non Dairy,M,6 to 12 months,"39,833"
England,ABERDEEN ANGUS X,Non Dairy,M,12 to 18 months,"24,727"
England,ABERDEEN ANGUS X,Non Dairy,M,18 to 24 months,"28,327"
England,ABERDEEN ANGUS X,Non Dairy,M,24 to 30 months,"7,100"
England,ABERDEEN ANGUS X,Non Dairy,M,30 to 36 months,"1,142"
England,ABERDEEN ANGUS X,Non Dairy,M,36 to 42 months,254
England,ABERDEEN ANGUS X,Non Dairy,M,42 to 48 Months,174
England,ABERDEEN ANGUS X,Non Dairy,M,48 to 54 months,125
England,ABERDEEN ANGUS X,Non Dairy,M,54 to 60 months,116
England,ABERDEEN ANGUS X,Non Dairy,M,60 to 66 months,70
England,ABERDEEN ANGUS X,Non Dairy,M,66 to 72 months,89
England,ABERDEEN ANGUS X,Non Dairy,M,72 to 78 months,78
England,ABERDEEN ANGUS X,Non Dairy,M,78 to 84 months,84
England,ABERDEEN ANGUS X,Non Dairy,M,84 to 90 months,57
England,ABERDEEN ANGUS X,Non Dairy,M,90 to 96 months,64
England,ABERDEEN ANGUS X,Non Dairy,M,96 to102 months,54
England,ABERDEEN ANGUS X,Non Dairy,M,102+months,287
England,ABERDEEN ANGUS X,Non Dairy,M,,38
England,ABERDEEN ANGUS X,Non Dairy,,0 to 6 months,1
England,ABERDEEN ANGUS X,Non Dairy,,36 to 42 months,1
England,ABERDEEN ANGUS X,Non Dairy,,42 to 48 Months,1
England,ABERDEEN ANGUS X,Non Dairy,,102+months,1
England,ANGLER ROTVIEH,Non Dairy,F,0 to 6 months,1
England,ANGLER ROTVIEH,Non Dairy,F,18 to 24 months,1
England,ANGLER ROTVIEH,Non Dairy,F,24 to 30 months,3
England,ANGLER ROTVIEH,Non Dairy,F,30 to 36 months,2
England,ANGLER ROTVIEH,Non Dairy,F,42 to 48 Months,1
England,ANGLER ROTVIEH,Non Dairy,F,60 to 66 months,1
England,ANGLER ROTVIEH,Non Dairy,F,84 to 90 months,1
England,ANGLER ROTVIEH,Non Dairy,F,102+months,1
England,ANGLER ROTVIEH,Non Dairy,M,0 to 6 months,2
England,ANGLER ROTVIEH,Non Dairy,M,36 to 42 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,24 to 30 months,29
England,ANGLER ROTVIEH X,Non Dairy,F,72 to 78 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,84 to 90 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,102+months,8
England,ANGLER ROTVIEH X,Non Dairy,M,6 to 12 months,1
England,ANGLER ROTVIEH X,Non Dairy,M,12 to 18 months,3
England,ANGLER ROTVIEH X,Non Dairy,M,18 to 24 months,1
England,ANGLER ROTVIEH X,Non Dairy,M,24 to 30 months,21
England,ANGLER ROTVIEH X,Non Dairy,M,102+months,1
England,ANKOLE,Non Dairy,F,18 to 24 months,2
