Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
 England , ABERDEEN ANGUS , Non Dairy , F , 0 to 6 months ,"5,050"
 England , ABERDEEN ANGUS , Non Dairy , F , 6 to 12 months ,"10,429"
 England , ABERDEEN ANGUS , Non Dairy , F , 12 to 18 months ,"4,696"
 England , ABERDEEN ANGUS , Non Dairy , F , 18 to 24 months ,"8,416"
 England , ABERDEEN ANGUS , Non Dairy , F , 24 to 30 months ,"2,345"
 England , ABERDEEN ANGUS , Non Dairy , F , 30 to 36 months ,"4,402"
 England , ABERDEEN ANGUS , Non Dairy , F , 36 to 42 months ,"1,245"
 England , ABERDEEN ANGUS , Non Dairy , F , 42 to 48 Months ,"3,672"
 England , ABERDEEN ANGUS , Non Dairy , F , 48 to 54 months ,"1,184"
 England , ABERDEEN ANGUS , Non Dairy , F , 54 to 60 months ,"3,095"
 England , ABERDEEN ANGUS , Non Dairy , F , 60 to 66 months ,922
 England , ABERDEEN ANGUS , Non Dairy , F , 66 to 72 months ,"2,672"
 England , ABERDEEN ANGUS , Non Dairy , F , 72 to 78 months ,948
 England , ABERDEEN ANGUS , Non Dairy , F , 78 to 84 months ,"2,332"
 England , ABERDEEN ANGUS , Non Dairy , F , 84 to 90 months ,772
 England , ABERDEEN ANGUS , Non Dairy , F , 90 to 96 months ,"1,847"
 England , ABERDEEN ANGUS , Non Dairy , F , 96 to102 months ,558
 England , ABERDEEN ANGUS , Non Dairy , F , 102+months ,"7,044"
 England , ABERDEEN ANGUS , Non Dairy , F ,,38
 England , ABERDEEN ANGUS , Non Dairy , M , 0 to 6 months ,"5,398"
 England , ABERDEEN ANGUS , Non Dairy , M , 6 to 12 months ,"11,320"
 England , ABERDEEN ANGUS , Non Dairy , M , 12 to 18 months ,"4,730"
 England , ABERDEEN ANGUS , Non Dairy , M , 18 to 24 months ,"8,223"
 England , ABERDEEN ANGUS , Non Dairy , M , 24 to 30 months ,"1,836"
 England , ABERDEEN ANGUS , Non Dairy , M , 30 to 36 months ,"1,581"
 England , ABERDEEN ANGUS , Non Dairy , M , 36 to 42 months ,288
 England , ABERDEEN ANGUS , Non Dairy , M , 42 to 48 Months ,881
 England , ABERDEEN ANGUS , Non Dairy , M , 48 to 54 months ,175
 England , ABERDEEN ANGUS , Non Dairy , M , 54 to 60 months ,636
 England , ABERDEEN ANGUS , Non Dairy , M , 60 to 66 months ,147
 England , ABERDEEN ANGUS , Non Dairy , M , 66 to 72 months ,422
 England , ABERDEEN ANGUS , Non Dairy , M , 72 to 78 months ,90
 England , ABERDEEN ANGUS , Non Dairy , M , 78 to 84 months ,298
 England , ABERDEEN ANGUS , Non Dairy , M , 84 to 90 months ,58
 England , ABERDEEN ANGUS , Non Dairy , M , 90 to 96 months ,202
 England , ABERDEEN ANGUS , Non Dairy , M , 96 to102 months ,34
 England , ABERDEEN ANGUS , Non Dairy , M , 102+months ,453
 England , ABERDEEN ANGUS , Non Dairy , M ,,11
 England , ABERDEEN ANGUS , Non Dairy ,, 42 to 48 Months ,1
 England , ABERDEEN ANGUS X , Non Dairy , F , 0 to 6 months ,"30,271"
 England , ABERDEEN ANGUS X , Non Dairy , F , 6 to 12 months ,"40,848"
 England , ABERDEEN ANGUS X , Non Dairy , F , 12 to 18 months ,"25,664"
 England , ABERDEEN ANGUS X , Non Dairy , F , 18 to 24 months ,"31,000"
 England , ABERDEEN ANGUS X , Non Dairy , F , 24 to 30 months ,"10,965"
 England , ABERDEEN ANGUS X , Non Dairy , F , 30 to 36 months ,"9,342"
 England , ABERDEEN ANGUS X , Non Dairy , F , 36 to 42 months ,"4,752"
 England , ABERDEEN ANGUS X , Non Dairy , F , 42 to 48 Months ,"7,369"
 England , ABERDEEN ANGUS X , Non Dairy , F , 48 to 54 months ,"3,722"
 England , ABERDEEN ANGUS X , Non Dairy , F , 54 to 60 months ,"5,664"
 England , ABERDEEN ANGUS X , Non Dairy , F , 60 to 66 months ,"2,999"
 England , ABERDEEN ANGUS X , Non Dairy , F , 66 to 72 months ,"4,811"
 England , ABERDEEN ANGUS X , Non Dairy , F , 72 to 78 months ,"3,058"
 England , ABERDEEN ANGUS X , Non Dairy , F , 78 to 84 months ,"4,425"
 England , ABERDEEN ANGUS X , Non Dairy , F , 84 to 90 months ,"2,661"
 England , ABERDEEN ANGUS X , Non Dairy , F , 90 to 96 months ,"3,479"
 England , ABERDEEN ANGUS X , Non Dairy , F , 96 to102 months ,"2,012"
 England , ABERDEEN ANGUS X , Non Dairy , F , 102+months ,"18,967"
 England , ABERDEEN ANGUS X , Non Dairy , F ,,126
 England , ABERDEEN ANGUS X , Non Dairy , M , 0 to 6 months ,"32,682"
 England , ABERDEEN ANGUS X , Non Dairy , M , 6 to 12 months ,"43,918"
 England , ABERDEEN ANGUS X , Non Dairy , M , 12 to 18 months ,"27,203"
 England , ABERDEEN ANGUS X , Non Dairy , M , 18 to 24 months ,"31,365"
 England , ABERDEEN ANGUS X , Non Dairy , M , 24 to 30 months ,"9,274"
 England , ABERDEEN ANGUS X , Non Dairy , M , 30 to 36 months ,"1,939"
 England , ABERDEEN ANGUS X , Non Dairy , M , 36 to 42 months ,343
 England , ABERDEEN ANGUS X , Non Dairy , M , 42 to 48 Months ,215
 England , ABERDEEN ANGUS X , Non Dairy , M , 48 to 54 months ,132
 England , ABERDEEN ANGUS X , Non Dairy , M , 54 to 60 months ,133
 England , ABERDEEN ANGUS X , Non Dairy , M , 60 to 66 months ,61
 England , ABERDEEN ANGUS X , Non Dairy , M , 66 to 72 months ,73
 England , ABERDEEN ANGUS X , Non Dairy , M , 72 to 78 months ,70
 England , ABERDEEN ANGUS X , Non Dairy , M , 78 to 84 months ,58
 England , ABERDEEN ANGUS X , Non Dairy , M , 84 to 90 months ,41
 England , ABERDEEN ANGUS X , Non Dairy , M , 90 to 96 months ,53
 England , ABERDEEN ANGUS X , Non Dairy , M , 96 to102 months ,45
 England , ABERDEEN ANGUS X , Non Dairy , M , 102+months ,338
 England , ABERDEEN ANGUS X , Non Dairy , M ,,44
 England , ABERDEEN ANGUS X , Non Dairy ,, 6 to 12 months ,1
 England , ABERDEEN ANGUS X , Non Dairy ,, 24 to 30 months ,1
 England , ABERDEEN ANGUS X , Non Dairy ,, 60 to 66 months ,1
 England , ABERDEEN ANGUS X , Non Dairy ,, 66 to 72 months ,1
 England , ABERDEEN ANGUS X , Non Dairy ,, 102+months ,1
 England , ABONDANCE , Non Dairy , F , 12 to 18 months ,1
 England , ABONDANCE , Non Dairy , F , 18 to 24 months ,2
 England , ABONDANCE , Non Dairy , M , 6 to 12 months ,1
 England , ABONDANCE , Non Dairy , M , 18 to 24 months ,1
 England , ABONDANCE CROSS , Non Dairy , F , 0 to 6 months ,4
 England , ABONDANCE CROSS , Non Dairy , F , 6 to 12 months ,10
 England , ABONDANCE CROSS , Non Dairy , F , 18 to 24 months ,15
 England , ABONDANCE CROSS , Non Dairy , M , 0 to 6 months ,4
 England , ABONDANCE CROSS , Non Dairy , M , 12 to 18 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 0 to 6 months ,9
 England , ANGLER ROTVIEH , Non Dairy , F , 12 to 18 months ,3
 England , ANGLER ROTVIEH , Non Dairy , F , 18 to 24 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 24 to 30 months ,10
 England , ANGLER ROTVIEH , Non Dairy , F , 30 to 36 months ,6
 England , ANGLER ROTVIEH , Non Dairy , F , 42 to 48 Months ,4
 England , ANGLER ROTVIEH , Non Dairy , F , 48 to 54 months ,3
 England , ANGLER ROTVIEH , Non Dairy , F , 54 to 60 months ,2
 England , ANGLER ROTVIEH , Non Dairy , M , 0 to 6 months ,4
 England , ANGLER ROTVIEH , Non Dairy , M , 12 to 18 months ,1
 England , ANGLER ROTVIEH , Non Dairy , M , 24 to 30 months ,2
 England , ANGLER ROTVIEH X , Non Dairy , F , 0 to 6 months ,4
 England , ANGLER ROTVIEH X , Non Dairy , F , 6 to 12 months ,3
 England , ANGLER ROTVIEH X , Non Dairy , F , 12 to 18 months ,6
 England , ANGLER ROTVIEH X , Non Dairy , F , 48 to 54 months ,21
 England , ANGLER ROTVIEH X , Non Dairy , F , 96 to102 months ,1
 England , ANGLER ROTVIEH X , Non Dairy , F , 102+months ,2
 England , ANGLER ROTVIEH X , Non Dairy , M , 0 to 6 months ,2
 England , ANGLER ROTVIEH X , Non Dairy , M , 6 to 12 months ,9
 England , ANGLER ROTVIEH X , Non Dairy , M , 12 to 18 months ,3
 England , ANGLER ROTVIEH X , Non Dairy , M , 48 to 54 months ,2
 England , ANKOLE , Non Dairy , F , 54 to 60 months ,1
 England , ANKOLE , Non Dairy , F , 102+months ,4
 England , ANKOLE , Non Dairy , M , 12 to 18 months ,1
 England , ANKOLE , Non Dairy , M , 54 to 60 months ,1
 England , ARMORICAINE , Non Dairy , F , 102+months ,1
 England , ARMORICAINE X , Non Dairy , M , 0 to 6 months ,1
 England , AUBRAC , Non Dairy , F , 6 to 12 months ,11
 England , AUBRAC , Non Dairy , F , 18 to 24 months ,13
 England , AUBRAC , Non Dairy , F , 42 to 48 Months ,6
 England , AUBRAC , Non Dairy , F , 54 to 60 months ,8
 England , AUBRAC , Non Dairy , F , 66 to 72 months ,1
 England , AUBRAC , Non Dairy , F , 90 to 96 months ,1
 England , AUBRAC , Non Dairy , F , 102+months ,27
 England , AUBRAC , Non Dairy , M , 6 to 12 months ,10
 England , AUBRAC , Non Dairy , M , 18 to 24 months ,13
 England , AUBRAC , Non Dairy , M , 30 to 36 months ,1
 England , AUBRAC , Non Dairy , M , 102+months ,1
 England , AUBRAC X , Non Dairy , F , 6 to 12 months ,1
 England , AUBRAC X , Non Dairy , F , 12 to 18 months ,1
 England , AUBRAC X , Non Dairy , F , 18 to 24 months ,2
 England , AUBRAC X , Non Dairy , F , 30 to 36 months ,2
 England , AUBRAC X , Non Dairy , F , 36 to 42 months ,1
 England , AUBRAC X , Non Dairy , F , 42 to 48 Months ,1
 England , AUBRAC X , Non Dairy , F , 54 to 60 months ,1
 England , AUBRAC X , Non Dairy , F , 72 to 78 months ,1
 England , AUBRAC X , Non Dairy , F , 102+months ,7
 England , AUBRAC X , Non Dairy , M , 12 to 18 months ,1
 England , AUBRAC X , Non Dairy , M , 18 to 24 months ,7
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 0 to 6 months ,9
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 6 to 12 months ,18
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 12 to 18 months ,4
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 18 to 24 months ,12
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 24 to 30 months ,6
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 30 to 36 months ,7
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 36 to 42 months ,5
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 42 to 48 Months ,9
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 48 to 54 months ,1
 England , AUSTRALIAN LOWLINE , Non Dairy , F , 54 to 60 months ,3
