2012,,,,,
Age in Months ,Females,,Males,,Totals
,Dairy,Non Dairy,Dairy,Non Dairy,
0 to 6 ,"246,726","292,475","160,075","304,533","1,003,809"
6 to 12 ,"200,992","562,444","107,325","573,576","1,444,337"
12 to 18 ,"234,917","270,930","104,716","263,012","873,575"
18 to 24 ,"191,771","419,207","68,041","374,293","1,053,312"
24 to 30 ,"226,179","125,049","43,653","77,424","472,305"
30 to 36 ,"176,080","165,284","8,875","26,445","376,684"
36 to 42 ,"207,241","88,024","4,609","8,415","308,289"
42 to 48 ,"141,514","153,116","2,516","12,587","309,733"
48 to 54 ,"164,625","81,419","2,701","5,426","254,171"
54 to 60 ,"111,284","126,851","2,593","8,793","249,521"
60 to 66 ,"134,898","69,773","2,458","4,680","211,809"
66 to 72,"84,118","112,027","2,125","8,320","206,590"
72 to 78 ,"101,930","62,130","1,579","4,312","169,951"
78 to 84 ,"64,484","96,158","1,578","6,820","169,040"
84 to 90 ,"80,219","50,975","2,666","4,114","137,974"
90 to 96 ,"53,762","83,635","2,348","6,796","146,541"
96 to 102 ,"59,008","46,560","2,675","3,544","111,787"
102+,"257,789","575,620","19,905","81,739","935,053"
Totals,"2,737,537","3,381,677","540,438","1,774,829","8,434,481"
