Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
 England , ABERDEEN ANGUS , Non Dairy , F , 0 to 6 months ,"4,929"
 England , ABERDEEN ANGUS , Non Dairy , F , 6 to 12 months ,"9,796"
 England , ABERDEEN ANGUS , Non Dairy , F , 12 to 18 months ,"4,339"
 England , ABERDEEN ANGUS , Non Dairy , F , 18 to 24 months ,"8,955"
 England , ABERDEEN ANGUS , Non Dairy , F , 24 to 30 months ,"2,227"
 England , ABERDEEN ANGUS , Non Dairy , F , 30 to 36 months ,"4,494"
 England , ABERDEEN ANGUS , Non Dairy , F , 36 to 42 months ,"1,338"
 England , ABERDEEN ANGUS , Non Dairy , F , 42 to 48 Months ,"3,487"
 England , ABERDEEN ANGUS , Non Dairy , F , 48 to 54 months ,"1,054"
 England , ABERDEEN ANGUS , Non Dairy , F , 54 to 60 months ,"3,042"
 England , ABERDEEN ANGUS , Non Dairy , F , 60 to 66 months ,"1,093"
 England , ABERDEEN ANGUS , Non Dairy , F , 66 to 72 months ,"2,654"
 England , ABERDEEN ANGUS , Non Dairy , F , 72 to 78 months ,912
 England , ABERDEEN ANGUS , Non Dairy , F , 78 to 84 months ,"2,154"
 England , ABERDEEN ANGUS , Non Dairy , F , 84 to 90 months ,650
 England , ABERDEEN ANGUS , Non Dairy , F , 90 to 96 months ,"1,875"
 England , ABERDEEN ANGUS , Non Dairy , F , 96 to102 months ,598
 England , ABERDEEN ANGUS , Non Dairy , F , 102+months ,"6,754"
 England , ABERDEEN ANGUS , Non Dairy , F , -   ,39
 England , ABERDEEN ANGUS , Non Dairy , M , 0 to 6 months ,"5,026"
 England , ABERDEEN ANGUS , Non Dairy , M , 6 to 12 months ,"10,238"
 England , ABERDEEN ANGUS , Non Dairy , M , 12 to 18 months ,"4,477"
 England , ABERDEEN ANGUS , Non Dairy , M , 18 to 24 months ,"8,716"
 England , ABERDEEN ANGUS , Non Dairy , M , 24 to 30 months ,"1,786"
 England , ABERDEEN ANGUS , Non Dairy , M , 30 to 36 months ,"1,480"
 England , ABERDEEN ANGUS , Non Dairy , M , 36 to 42 months ,263
 England , ABERDEEN ANGUS , Non Dairy , M , 42 to 48 Months ,850
 England , ABERDEEN ANGUS , Non Dairy , M , 48 to 54 months ,194
 England , ABERDEEN ANGUS , Non Dairy , M , 54 to 60 months ,598
 England , ABERDEEN ANGUS , Non Dairy , M , 60 to 66 months ,131
 England , ABERDEEN ANGUS , Non Dairy , M , 66 to 72 months ,421
 England , ABERDEEN ANGUS , Non Dairy , M , 72 to 78 months ,88
 England , ABERDEEN ANGUS , Non Dairy , M , 78 to 84 months ,272
 England , ABERDEEN ANGUS , Non Dairy , M , 84 to 90 months ,48
 England , ABERDEEN ANGUS , Non Dairy , M , 90 to 96 months ,212
 England , ABERDEEN ANGUS , Non Dairy , M , 96 to102 months ,45
 England , ABERDEEN ANGUS , Non Dairy , M , 102+months ,426
 England , ABERDEEN ANGUS , Non Dairy , M , -   ,14
 England , ABERDEEN ANGUS , Non Dairy , -   , 30 to 36 months ,1
 England , ABERDEEN ANGUS X , Non Dairy , F , 0 to 6 months ,"27,187"
 England , ABERDEEN ANGUS X , Non Dairy , F , 6 to 12 months ,"37,252"
 England , ABERDEEN ANGUS X , Non Dairy , F , 12 to 18 months ,"23,874"
 England , ABERDEEN ANGUS X , Non Dairy , F , 18 to 24 months ,"31,011"
 England , ABERDEEN ANGUS X , Non Dairy , F , 24 to 30 months ,"11,380"
 England , ABERDEEN ANGUS X , Non Dairy , F , 30 to 36 months ,"9,359"
 England , ABERDEEN ANGUS X , Non Dairy , F , 36 to 42 months ,"4,315"
 England , ABERDEEN ANGUS X , Non Dairy , F , 42 to 48 Months ,"6,471"
 England , ABERDEEN ANGUS X , Non Dairy , F , 48 to 54 months ,"3,414"
 England , ABERDEEN ANGUS X , Non Dairy , F , 54 to 60 months ,"5,456"
 England , ABERDEEN ANGUS X , Non Dairy , F , 60 to 66 months ,"3,531"
 England , ABERDEEN ANGUS X , Non Dairy , F , 66 to 72 months ,"5,070"
 England , ABERDEEN ANGUS X , Non Dairy , F , 72 to 78 months ,"3,046"
 England , ABERDEEN ANGUS X , Non Dairy , F , 78 to 84 months ,"4,040"
 England , ABERDEEN ANGUS X , Non Dairy , F , 84 to 90 months ,"2,375"
 England , ABERDEEN ANGUS X , Non Dairy , F , 90 to 96 months ,"3,650"
 England , ABERDEEN ANGUS X , Non Dairy , F , 96 to102 months ,"2,178"
 England , ABERDEEN ANGUS X , Non Dairy , F , 102+months ,"18,623"
 England , ABERDEEN ANGUS X , Non Dairy , F , -   ,140
 England , ABERDEEN ANGUS X , Non Dairy , M , 0 to 6 months ,"29,403"
 England , ABERDEEN ANGUS X , Non Dairy , M , 6 to 12 months ,"39,812"
 England , ABERDEEN ANGUS X , Non Dairy , M , 12 to 18 months ,"25,356"
 England , ABERDEEN ANGUS X , Non Dairy , M , 18 to 24 months ,"31,786"
 England , ABERDEEN ANGUS X , Non Dairy , M , 24 to 30 months ,"9,510"
 England , ABERDEEN ANGUS X , Non Dairy , M , 30 to 36 months ,"1,665"
 England , ABERDEEN ANGUS X , Non Dairy , M , 36 to 42 months ,338
 England , ABERDEEN ANGUS X , Non Dairy , M , 42 to 48 Months ,257
 England , ABERDEEN ANGUS X , Non Dairy , M , 48 to 54 months ,108
 England , ABERDEEN ANGUS X , Non Dairy , M , 54 to 60 months ,108
 England , ABERDEEN ANGUS X , Non Dairy , M , 60 to 66 months ,99
 England , ABERDEEN ANGUS X , Non Dairy , M , 66 to 72 months ,88
 England , ABERDEEN ANGUS X , Non Dairy , M , 72 to 78 months ,73
 England , ABERDEEN ANGUS X , Non Dairy , M , 78 to 84 months ,76
 England , ABERDEEN ANGUS X , Non Dairy , M , 84 to 90 months ,64
 England , ABERDEEN ANGUS X , Non Dairy , M , 90 to 96 months ,64
 England , ABERDEEN ANGUS X , Non Dairy , M , 96 to102 months ,52
 England , ABERDEEN ANGUS X , Non Dairy , M , 102+months ,353
 England , ABERDEEN ANGUS X , Non Dairy , M , -   ,49
 England , ABERDEEN ANGUS X , Non Dairy , -   , 6 to 12 months ,1
 England , ABERDEEN ANGUS X , Non Dairy , -   , 12 to 18 months ,1
 England , ABERDEEN ANGUS X , Non Dairy , -   , 48 to 54 months ,1
 England , ABERDEEN ANGUS X , Non Dairy , -   , 54 to 60 months ,1
 England , ABERDEEN ANGUS X , Non Dairy , -   , 102+months ,1
 England , ABONDANCE , Non Dairy , F , 0 to 6 months ,1
 England , ABONDANCE , Non Dairy , F , 6 to 12 months ,2
 England , ABONDANCE , Non Dairy , M , 6 to 12 months ,2
 England , ABONDANCE CROSS , Non Dairy , F , 6 to 12 months ,16
 England , ABONDANCE CROSS , Non Dairy , M , 0 to 6 months ,1
 England , ABONDANCE CROSS , Non Dairy , M , 6 to 12 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 0 to 6 months ,3
 England , ANGLER ROTVIEH , Non Dairy , F , 6 to 12 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 12 to 18 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 30 to 36 months ,4
 England , ANGLER ROTVIEH , Non Dairy , F , 36 to 42 months ,3
 England , ANGLER ROTVIEH , Non Dairy , F , 42 to 48 Months ,2
 England , ANGLER ROTVIEH , Non Dairy , F , 54 to 60 months ,1
 England , ANGLER ROTVIEH , Non Dairy , F , 102+months ,1
 England , ANGLER ROTVIEH , Non Dairy , M , 0 to 6 months ,1
 England , ANGLER ROTVIEH , Non Dairy , M , 12 to 18 months ,2
 England , ANGLER ROTVIEH , Non Dairy , M , 48 to 54 months ,1
 England , ANGLER ROTVIEH X , Non Dairy , F , 0 to 6 months ,8
 England , ANGLER ROTVIEH X , Non Dairy , F , 36 to 42 months ,23
 England , ANGLER ROTVIEH X , Non Dairy , F , 84 to 90 months ,1
 England , ANGLER ROTVIEH X , Non Dairy , F , 96 to102 months ,1
 England , ANGLER ROTVIEH X , Non Dairy , F , 102+months ,3
 England , ANGLER ROTVIEH X , Non Dairy , M , 0 to 6 months ,3
 England , ANGLER ROTVIEH X , Non Dairy , M , 24 to 30 months ,1
 England , ANGLER ROTVIEH X , Non Dairy , M , 36 to 42 months ,11
 England , ANKOLE , Non Dairy , F , 30 to 36 months ,1
 England , ANKOLE , Non Dairy , F , 42 to 48 Months ,1
 England , ANKOLE , Non Dairy , F , 102+months ,5
 England , ANKOLE , Non Dairy , M , 0 to 6 months ,1
 England , ANKOLE , Non Dairy , M , 42 to 48 Months ,1
 England , ARMORICAINE , Non Dairy , F , 0 to 6 months ,1
